UF,TO
Cidade,PINDORAMA DO TOCANTINS
Nome Posto,PINDORAMA DO TOCANTINS
Latitude,-11.140277777777778
Longitude,-47.57666666666667
Codigo,1147002
Qtd. Anos,47
Ano,Maxima
1973,90
1974,115
1975,91.4
1976,70.6
1977,144.5
1978,105.6
1979,91.3
1980,70.3
1981,84.4
1982,70
1983,63
1984,98.2
1985,63.2
1986,91.2
1987,63.2
1988,91.3
1989,56.2
1990,46.2
1991,47.3
1992,77.1
1993,81
1994,70
1995,85.2
1996,89.4
1997,77
1998,94.9
1999,78.7
2000,79.9
2001,139.3
2002,74.7
2003,56.1
2004,70.7
2005,87.9
2006,117.4
2007,62.9
2008,71.1
2009,122.6
2010,65.3
2011,128.1
2012,96
2013,79
2014,78
2015,103
2016,90
2017,74.6
2018,65
2019,67.8
