UF,TO
Cidade,FORMOSO DO ARAGUAIA
Nome Posto,PROJETO RIO FORMOSO
Latitude,-11.839444444444444
Longitude,-49.77166666666667
Codigo,1249002
Qtd. Anos,39
Ano,Maxima
1980,71
1981,66.6
1982,86.6
1983,108.2
1984,120
1985,100
1986,67.4
1987,92.4
1988,102.8
1989,82.4
1990,76.8
1991,88
1992,95.4
1993,83.8
1994,100
1995,159.4
1996,129
1997,92.8
1998,96.8
1999,78
2000,91.2
2001,89.6
2002,63
2003,68.6
2004,97
2005,92.8
2006,65
2007,100
2008,79.6
2009,122.2
2010,74.7
2011,72.4
2014,70
2015,90.2
2016,70
2017,86
2018,122.6
2019,104.4
2020,64.4
