UF,TO
Cidade,AURORA DO TOCANTINS
Nome Posto,AURORA DO NORTE
Latitude,-12.713888888888889
Longitude,-46.40861111111111
Codigo,1246001
Qtd. Anos,47
Ano,Maxima
1973,65
1974,67.6
1975,46.4
1976,51.6
1977,66.6
1978,85.8
1979,141.6
1980,73.4
1981,114.8
1982,75.8
1983,87.6
1984,77.8
1985,61.4
1986,65.8
1987,123.8
1988,122.4
1989,92.2
1990,54.2
1991,145.8
1992,100.2
1993,104.6
1994,90.2
1995,86.1
1996,60.3
1997,76.4
1998,62.4
1999,42.8
2000,61.5
2001,52
2002,57.7
2003,47.9
2004,86.2
2005,66.8
2006,67.8
2007,81.8
2008,109.7
2009,74.2
2010,111.7
2011,84
2012,56.2
2013,75.6
2014,82
2015,71
2016,100
2017,114
2018,70.8
2019,112
