UF,TO
Cidade,GURUPI
Nome Posto,GURUPI
Latitude,-11.737222222222222
Longitude,-49.13611111111111
Codigo,1149002
Qtd. Anos,46
Ano,Maxima
1972,75
1973,53.3
1974,49.4
1975,74.2
1976,77.8
1977,73.4
1978,95
1979,67
1980,75
1981,64
1982,65
1983,50
1984,56.2
1985,86.8
1986,42.3
1987,102
1988,81
1989,64.3
1993,88.1
1994,71
1995,68
1996,60.5
1997,110.8
1998,105.5
1999,91.5
2000,81.5
2001,110.1
2002,77.5
2003,61.5
2004,100.6
2005,96
2006,94.5
2007,48
2008,98.9
2009,111.5
2010,70.9
2011,105.3
2012,75.1
2013,120.5
2014,127
2015,70.7
2016,71.1
2017,133.6
2018,100.4
2019,101
2020,87
