UF,TO
Cidade,WANDERLANDIA
Nome Posto,WANDERLANDIA - RD BELEM - BRASILIA
Latitude,-6.839166666666666
Longitude,-47.970555555555556
Codigo,647001
Qtd. Anos,48
Ano,Maxima
1973,57
1974,66.1
1975,72.4
1976,74
1977,80.2
1978,119
1979,98
1980,76
1981,87
1982,58
1983,73.2
1984,70.2
1985,92
1986,62
1987,51.9
1988,82.8
1989,93
1990,88.5
1991,68.5
1992,65
1993,77.2
1994,64
1995,126.9
1996,99.5
1997,82.9
1998,78.3
1999,110.3
2000,94.2
2001,77.7
2002,82.2
2003,85.2
2004,119.9
2005,147
2006,55.5
2007,48.4
2008,57.9
2009,104.5
2010,64.5
2011,103.1
2012,91.3
2013,93
2014,73.7
2015,64.7
2016,43.3
2017,95.7
2018,99.1
2019,91.6
2020,80
