UF,TO
Cidade,PEIXE
Nome Posto,COLONHA
Latitude,-12.3875
Longitude,-48.71083333333333
Codigo,1248001
Qtd. Anos,47
Ano,Maxima
1974,46
1975,98
1976,62
1977,75
1978,140
1979,50
1980,75
1981,77.2
1982,106
1983,101.6
1984,80.2
1985,90.1
1986,75
1987,65.1
1988,126.1
1989,73
1990,66
1991,94
1992,102.3
1993,58.2
1994,80.2
1995,102.7
1996,93.2
1997,77.5
1998,74.1
1999,157.7
2000,95.6
2001,88.7
2002,58.8
2003,72.8
2004,72.8
2005,95.2
2006,46.3
2007,75.2
2008,90.7
2009,73.5
2010,100
2011,63.4
2012,56.7
2013,90.4
2014,55
2015,52.9
2016,74.2
2017,85.3
2018,94.7
2019,56
2020,97
