UF,TO
Cidade,PORTO ALEGRE DO TOCANTINS
Nome Posto,PORTO ALEGRE
Latitude,-11.61
Longitude,-47.044999999999995
Codigo,1147003
Qtd. Anos,44
Ano,Maxima
1975,53.5
1976,70
1977,69.3
1978,106.4
1979,88.6
1980,97.8
1981,63.4
1982,75
1983,77.4
1984,56
1985,82.8
1986,108.6
1987,98.2
1988,70.6
1989,60.6
1991,42.4
1992,90
1993,102.2
1994,72.6
1995,99.8
1996,59.6
1997,82.3
1998,92.8
1999,83.2
2000,79.8
2001,63.2
2002,75
2003,77.4
2004,91.4
2005,84
2006,66.2
2007,95.9
2008,70.9
2009,179
2010,61
2011,77.3
2012,73.6
2013,68.1
2014,77.1
2015,93.4
2016,77.4
2017,80
2018,110.5
2019,90.4
