UF,TO
Cidade,CONCEICAO DO TOCANTINS
Nome Posto,CONCEICAO DO TOCANTINS
Latitude,-12.2325
Longitude,-47.324444444444445
Codigo,1247000
Qtd. Anos,47
Ano,Maxima
1973,35
1974,75
1975,75
1976,35
1977,35
1978,45
1979,76
1980,53
1981,80
1982,82
1983,78
1984,45
1985,35
1986,26.6
1987,65
1988,97
1989,89.8
1990,54
1991,79.4
1992,105.6
1993,66.2
1994,102.4
1995,59
1996,78
1997,97.6
1998,79
1999,79.8
2000,55.6
2001,72
2002,77.2
2003,86.8
2004,104.4
2005,70
2006,65
2007,109.2
2008,74.4
2009,101.6
2010,51.3
2011,50.9
2012,183.3
2013,80.2
2014,101
2015,85.2
2016,86.8
2017,98.7
2018,87.8
2019,70.1
