UF,TO
Cidade,ITAPORA DO TOCANTINS
Nome Posto,ITAPORA DO TOCANTINS
Latitude,-8.573888888888888
Longitude,-48.69027777777777
Codigo,848002
Qtd. Anos,47
Ano,Maxima
1973,55.2
1974,64.6
1975,134.6
1976,125
1977,116.2
1978,82.3
1979,104
1980,123
1981,65.2
1982,77
1983,88.2
1984,61.2
1985,78
1986,53.1
1987,108.3
1988,85.2
1989,131.3
1990,61
1991,110
1992,75
1993,122.2
1994,99.4
1995,89
1996,96.3
1997,108.2
1998,105.3
1999,71.1
2000,84.5
2001,79.3
2002,80.8
2003,79.3
2004,77.1
2005,92.3
2006,78.4
2007,81.7
2008,66.3
2009,119.2
2010,106.9
2011,81.9
2012,77.3
2013,93.3
2014,59.7
2015,86.5
2016,71.2
2017,83.8
2018,96.1
2019,236.3
