UF,TO
Cidade,ARAGUACU
Nome Posto,ARAGUACU
Latitude,-12.931111111111111
Longitude,-49.82944444444445
Codigo,1249001
Qtd. Anos,48
Ano,Maxima
1973,78
1974,105
1975,98.5
1976,72
1977,147.4
1978,56.2
1979,86.4
1980,221.3
1981,105
1982,113.2
1983,65.2
1984,71.2
1985,95
1986,104.3
1987,82.3
1988,94
1989,90.5
1990,132
1991,80
1992,63
1993,109.1
1994,66.2
1995,116
1996,105.9
1997,95
1998,78
1999,83.8
2000,105.2
2001,59.9
2002,118.4
2003,72.2
2004,102.6
2005,110.1
2006,90.7
2007,90.5
2008,87
2009,96.7
2010,88.2
2011,114.5
2012,75.8
2013,96.7
2014,75.6
2015,91
2016,100
2017,114.8
2018,123.2
2019,87
2020,69.5
