UF,TO
Cidade,ITACAJA
Nome Posto,ITACAJA
Latitude,-8.391666666666666
Longitude,-47.76277777777778
Codigo,847001
Qtd. Anos,47
Ano,Maxima
1973,61.4
1974,122.8
1975,181.6
1976,56.2
1977,63.2
1978,95.3
1979,128.3
1980,86.2
1981,67.1
1982,118.4
1983,75
1984,72.3
1985,113.4
1986,80.3
1987,80.4
1988,114
1989,80
1990,110.2
1991,75
1992,360
1993,62.3
1994,102.8
1995,85
1996,100.9
1997,104
1998,60.3
1999,93.1
2000,63.1
2001,126.4
2002,154.2
2003,64
2004,84.5
2005,116
2006,100.2
2007,89.2
2008,168.1
2009,78.7
2010,72.3
2011,120.4
2012,78.9
2013,94.8
2014,119.6
2015,93.7
2016,86.6
2017,78.6
2018,113.8
2019,68.8
