UF,TO
Cidade,LIZARDA
Nome Posto,LIZARDA
Latitude,-9.597222222222223
Longitude,-46.672777777777775
Codigo,946003
Qtd. Anos,41
Ano,Maxima
1973,59.8
1974,90
1975,50.6
1976,75
1977,55.2
1984,48.6
1985,98.6
1986,87
1987,71.6
1988,133.8
1989,132
1990,85.3
1991,124.8
1992,140.4
1993,46.1
1994,79.4
1995,74.5
1996,56
1997,71.9
1998,123.8
1999,60
2000,85.7
2001,65.9
2002,67.1
2003,75.1
2004,90.5
2005,77.5
2006,115.4
2007,88.8
2008,78.1
2009,95.9
2010,120.9
2011,87.2
2012,72.7
2013,73
2014,99.7
2015,86.8
2016,92.1
2017,75.5
2018,107.2
2019,67.7
