UF,TO
Cidade,MURICILANDIA
Nome Posto,MURICILANDIA
Latitude,-7.154444444444445
Longitude,-48.60305555555556
Codigo,748003
Qtd. Anos,47
Ano,Maxima
1974,83
1975,42.8
1976,79.2
1977,50.2
1978,70.2
1979,50
1980,50
1981,54.6
1982,109
1983,86
1984,85
1985,93
1986,66
1987,107.4
1988,87.7
1989,110.4
1990,99.8
1991,133.5
1992,95.6
1993,143.2
1994,153.8
1995,93.7
1996,126
1997,111.3
1998,89.3
1999,96.1
2000,77.7
2001,99.5
2002,85.7
2003,139.7
2004,89.9
2005,99.5
2006,85.4
2007,74.3
2008,84.9
2009,92.4
2010,112.1
2011,88.5
2012,73.4
2013,94.3
2014,105.4
2015,64.3
2016,143.4
2017,103.7
2018,112.3
2019,112.3
2020,81.4
