UF,TO
Cidade,FORMOSO DO ARAGUAIA
Nome Posto,FORMOSO DO ARAGUAIA
Latitude,-11.797222222222222
Longitude,-49.525
Codigo,1149001
Qtd. Anos,46
Ano,Maxima
1973,94
1974,128.2
1975,99.2
1976,111.2
1977,121
1978,82
1979,92
1980,85
1981,82.2
1982,95.2
1983,95
1984,94.8
1985,66.2
1986,69.8
1987,103
1988,106.8
1989,96
1990,79.7
1991,75.7
1992,75.9
1993,122
1994,92.8
1995,120
1996,96
1997,102
1998,132.7
1999,76.4
2000,111.7
2001,78.3
2002,75.6
2003,82.3
2004,99
2005,102.9
2006,132
2007,77.9
2008,68.4
2009,63.2
2010,77.3
2011,65.7
2012,80.4
2013,82
2014,77.9
2015,68.5
2016,60.3
2017,152.1
2018,123.7
