UF,TO
Cidade,ALMAS
Nome Posto,ALMAS
Latitude,-11.578888888888889
Longitude,-47.17388888888889
Codigo,1147000
Qtd. Anos,47
Ano,Maxima
1973,62
1974,51.1
1975,59.4
1976,133.5
1977,85.5
1978,65
1979,70
1980,82.2
1981,106.5
1982,58.4
1983,57
1984,85
1985,92
1986,72
1987,108.2
1988,72
1989,92
1990,80.8
1991,77
1992,80.4
1993,79
1994,54.1
1995,70
1996,82.2
1997,95
1998,100.5
1999,100.8
2000,71.1
2001,100.2
2002,80.2
2003,147.3
2004,74.6
2005,100.4
2006,91.5
2007,63.6
2008,100.8
2009,89.5
2010,85
2011,73
2012,114.1
2013,62.9
2014,71
2015,74.8
2016,81.1
2017,60
2018,86
2019,48.6
