UF,TO
Cidade,PALMAS
Nome Posto,TAQUARUSSU DO PORTO
Latitude,-10.313333333333334
Longitude,-48.1625
Codigo,1048005
Qtd. Anos,44
Ano,Maxima
1976,50.4
1977,81.8
1978,104.6
1979,104.8
1980,105.8
1981,125.6
1982,79.2
1983,86.6
1984,84
1985,78
1986,93
1987,100.4
1988,96.6
1989,80.6
1990,88
1991,79.9
1992,70.3
1993,76.9
1994,76.3
1995,118.2
1996,124.3
1997,87.3
1998,62.7
1999,104.7
2000,84.1
2001,111.2
2002,83.1
2003,90.3
2004,163.7
2005,84.9
2006,141.6
2007,83.5
2008,95.5
2009,91
2010,75.7
2011,79.2
2012,55.3
2013,49.5
2014,101.3
2015,74.2
2016,107.2
2017,67.3
2018,67.4
2019,66.8
