UF,TO
Cidade,SAO VALERIO DA NATIVIDADE
Nome Posto,FAZENDA LOBEIRA
Latitude,-11.53138888888889
Longitude,-48.29472222222222
Codigo,1148000
Qtd. Anos,52
Ano,Maxima
1969,83.2
1970,70.5
1971,58.1
1972,90.4
1973,77.2
1974,111.3
1975,72.4
1976,114.8
1977,76.8
1978,105.2
1979,61.8
1980,94
1981,88.8
1982,108.6
1983,92.2
1984,62.9
1985,98.3
1986,77.6
1987,58.6
1988,132
1989,107
1990,77.2
1991,92.1
1992,76.5
1993,89.2
1994,78.2
1995,75.6
1996,122.3
1997,120.8
1998,83.3
1999,146.3
2000,96.6
2001,75.2
2002,114.6
2003,117.3
2004,88.3
2005,99.7
2006,82.2
2007,79.2
2008,61.2
2009,91.6
2010,93.6
2011,79.6
2012,81.3
2013,98.7
2014,77.5
2015,76
2016,65.7
2017,84.3
2018,73.9
2019,99.6
2020,63.5
