UF,TO
Cidade,GUARAI
Nome Posto,GUARAI
Latitude,-8.831944444444444
Longitude,-48.81722222222223
Codigo,848001
Qtd. Anos,42
Ano,Maxima
1978,79.8
1979,89.9
1980,107.6
1981,80
1982,91.2
1983,80.4
1984,91.4
1985,89.2
1986,88.4
1987,86.6
1988,82.3
1989,85
1990,86.6
1991,70.8
1992,158
1993,79.6
1994,75.8
1995,96.6
1996,88.6
1997,97.2
1998,57.5
1999,73.3
2000,128
2001,64.9
2002,110.7
2003,52.8
2004,135.3
2005,72.2
2006,95.5
2007,112.7
2008,114.3
2009,56
2010,68.3
2011,105.2
2012,70
2013,88.5
2014,86.4
2015,71.9
2016,63.9
2017,76.8
2018,113.5
2019,78.9
