UF,TO
Cidade,CAMPOS LINDOS
Nome Posto,CAMPOS LINDOS
Latitude,-7.971111111111111
Longitude,-46.80638888888888
Codigo,847002
Qtd. Anos,36
Ano,Maxima
1984,66
1985,134.2
1986,87.2
1987,101.4
1988,57
1989,49.9
1990,63.3
1991,72.6
1992,108.7
1993,61.2
1994,85.5
1995,92.3
1996,89
1997,147.6
1998,89.9
1999,62.9
2000,83.9
2001,55.7
2002,102.4
2003,51.9
2004,111.4
2005,95.6
2006,106.1
2007,106.4
2008,120
2009,82
2010,130.5
2011,53.7
2012,92.2
2013,54.8
2014,78.2
2015,50
2016,115.4
2017,73.1
2018,89.1
2019,30.5
