UF,TO
Cidade,TAGUATINGA
Nome Posto,TAGUATINGA
Latitude,-12.4
Longitude,-46.416666666666664
Codigo,1246003
Qtd. Anos,46
Ano,Maxima
1949,81
1950,64.7
1951,66
1952,75.1
1953,51
1954,83.1
1955,97.4
1956,78.7
1957,80.4
1958,144.9
1959,54
1960,64.2
1961,22.2
1962,64
1963,64.4
1964,81.6
1965,73.6
1966,63.6
1967,55.3
1968,95
1969,70.7
1970,72.8
1971,63
1972,58.4
1973,82.4
1974,135.4
1975,74
1976,64.4
1977,59.8
1978,95.4
1979,121.4
1980,93.6
1981,68.8
1982,79.5
1983,106.6
1984,57.8
1985,99.8
1986,60.6
1987,110.4
1988,127.1
1989,83.1
1990,85
1995,65.9
1996,94
1997,100.5
1998,65.2
