UF,TO
Cidade,TOCANTINOPOLIS
Nome Posto,TOCANTINOPOLIS
Latitude,-6.288611111111111
Longitude,-47.39194444444444
Codigo,647000
Qtd. Anos,52
Ano,Maxima
1969,56.2
1970,138.2
1971,81.6
1972,129.2
1973,110
1974,125
1975,80.8
1976,115.8
1977,115
1978,83
1979,76
1980,132
1981,56.1
1982,93.4
1983,82.1
1984,95.1
1985,110.2
1986,163.4
1987,68
1988,110.4
1989,62.4
1990,136.4
1991,88.2
1992,122.2
1993,58
1994,87
1995,80.8
1996,85.5
1997,96
1998,95.2
1999,96.5
2000,71.6
2001,122.6
2002,91.3
2003,84.4
2004,113.5
2005,85.1
2006,92.1
2007,46.1
2008,109.3
2009,128.7
2010,124.6
2011,102
2012,78.9
2013,148.3
2014,79.6
2015,59.8
2016,98.9
2017,122.8
2018,84.8
2019,114.3
2020,39.4
