UF,TO
Cidade,GOIATINS 
Nome Posto,GOIATINS
Latitude,-7.714722222222222
Longitude,-47.315
Codigo,747001
Qtd. Anos,49
Ano,Maxima
1971,59.3
1972,70.2
1973,51.9
1974,70.3
1975,62.2
1976,88.9
1977,119.5
1978,80.2
1979,117.6
1980,99.6
1981,91.9
1982,101.2
1983,68.3
1984,74.4
1985,95.1
1986,95.2
1987,97.5
1988,86.8
1989,88.3
1990,82
1991,99
1992,50.9
1993,98
1994,61.3
1995,87
1996,87.2
1997,66.5
1998,66.4
1999,91.8
2000,69.9
2001,92.4
2002,68.8
2003,65.3
2004,80
2005,93.2
2006,100.4
2007,92.4
2008,73.1
2009,83.9
2010,61
2011,83.3
2012,72.2
2013,147.5
2014,50.1
2015,72.4
2016,102
2017,78.2
2018,108.9
2019,76.4
