UF,TO
Cidade,PALMEIROPOLIS
Nome Posto,PALMEIROPOLIS
Latitude,-13.041944444444445
Longitude,-48.40694444444444
Codigo,1248003
Qtd. Anos,41
Ano,Maxima
1978,53.4
1979,36
1980,117
1981,138.8
1982,75.3
1983,66
1984,56.3
1985,117.6
1986,52.7
1987,120
1989,117.5
1990,87.1
1991,73.1
1992,104.6
1993,120.8
1994,109.4
1995,122.7
1996,101.4
1997,85.7
1998,86.8
1999,57.9
2000,95.3
2001,96.3
2002,70.7
2003,86.5
2004,99
2005,51.5
2006,68.9
2007,62
2008,88.8
2009,89.3
2010,59.5
2011,75.2
2012,63.5
2013,56
2014,57.2
2015,57.2
2016,99.6
2017,94
2018,76.3
2019,44.2
