UF,TO
Cidade,PORTO NACIONAL
Nome Posto,PALMAS
Latitude,-10.716666666666667
Longitude,-48.416666666666664
Codigo,1048003
Qtd. Anos,69
Ano,Maxima
1949,101
1950,63.5
1951,68.4
1952,120
1953,73.2
1954,66.2
1955,59.5
1956,85
1957,80.4
1958,88.6
1959,70
1960,74.7
1961,68
1962,67
1963,75.6
1964,55.7
1965,110.2
1966,74
1967,67.2
1968,75.2
1969,84.9
1970,76.2
1971,62.5
1972,75.3
1973,90
1974,59
1975,77
1976,90
1977,70.4
1978,79.8
1979,63.3
1980,100.4
1981,92
1982,62.2
1983,83.8
1984,49.9
1985,120
1986,92.5
1987,95.2
1988,83.8
1989,70.9
1990,102.2
1991,64.6
1992,109.2
1993,66.7
1994,79.8
1995,110.8
1996,79
1997,75.8
1998,100.3
1999,126
2000,109.5
2001,92.9
2002,55.3
2003,111.1
2004,87.4
2005,114.1
2006,132.5
2007,84
2008,94.8
2009,91.5
2010,156.5
2011,68.3
2012,91
2013,96.1
2014,116.2
2015,61.3
2016,72.1
2017,132.2
