UF,TO
Cidade,ARAGUATINS
Nome Posto,ARAGUATINS
Latitude,-5.6483333333333325
Longitude,-48.125
Codigo,548000
Qtd. Anos,47
Ano,Maxima
1974,69.2
1975,121
1976,98.1
1977,117.6
1978,122.8
1979,122
1980,70.5
1981,78.4
1982,137.6
1983,147.7
1984,99.1
1985,86
1986,80.5
1987,60.6
1988,91.3
1989,85.4
1990,144.4
1991,131.2
1992,69.8
1993,48.5
1994,106
1995,117.5
1996,81.8
1997,131.7
1998,100.7
1999,97.9
2000,70.7
2001,66.5
2002,116
2003,85.8
2004,100.4
2005,111
2006,82.1
2007,87.6
2008,110.3
2009,74
2010,68
2011,63
2012,63.5
2013,109.8
2014,77.5
2015,79.8
2016,99.5
2017,115.4
2018,89.7
2019,79.3
2020,10
