UF,TO
Cidade,TUPIRATINS
Nome Posto,TUPIRATINS
Latitude,-8.399166666666666
Longitude,-48.13027777777778
Codigo,848003
Qtd. Anos,51
Ano,Maxima
1969,65
1970,93
1971,55.2
1972,100.8
1973,78.2
1974,60.4
1975,93.2
1976,115.6
1977,70.2
1978,93.8
1979,118.6
1980,74.6
1981,112.6
1982,85.2
1983,153
1984,90.2
1985,92.4
1986,89.4
1987,76
1988,95
1989,178.4
1990,59
1991,57.2
1992,58
1993,126.9
1994,86.8
1995,75.4
1996,76.9
1997,102
1998,132.1
1999,114.7
2000,80.4
2001,123
2002,64.2
2003,81.6
2004,161.3
2005,97.2
2006,103.6
2007,80.9
2008,102.1
2009,75.6
2010,142.4
2011,109.9
2012,75.1
2013,191.4
2014,82.3
2015,131.6
2016,85.6
2017,115.5
2018,139.5
2019,68
