UF,TO
Cidade,NOVA OLINDA
Nome Posto,FAZ. PRIMAVERA - ROD. BEL - BRASILIA
Latitude,-7.560555555555555
Longitude,-48.422777777777775
Codigo,748002
Qtd. Anos,47
Ano,Maxima
1973,9.8
1974,93.6
1975,43.2
1976,70.5
1977,63
1978,84.2
1979,214
1980,81
1981,113.2
1982,87.4
1983,151.6
1984,75
1985,154.4
1986,84.4
1987,75
1988,70
1989,84
1990,96.8
1991,50
1992,96.7
1993,162.9
1994,73.3
1995,116.9
1996,109.5
1997,59.5
1998,100.4
1999,106
2000,67.5
2001,72.1
2002,109
2003,134.5
2004,109
2005,763.3
2006,83
2007,100.5
2008,72.8
2009,72.2
2010,88.3
2011,107.1
2012,52.5
2013,83.3
2014,80.5
2015,65.3
2016,94.6
2017,92.3
2018,103.5
2019,68.2
