UF,TO
Cidade,COLINAS DO TOCANTINS
Nome Posto,COLINAS DO TOCANTINS
Latitude,-8.052777777777779
Longitude,-48.48166666666667
Codigo,848000
Qtd. Anos,49
Ano,Maxima
1971,19
1972,89
1973,62
1974,90.2
1975,96.2
1976,80.1
1977,82.4
1978,81.2
1979,102
1980,80.6
1981,78.2
1982,66
1983,72
1984,82
1985,231.8
1986,90.6
1987,125
1988,83
1989,87.4
1990,79
1991,128
1992,50.2
1993,90.5
1994,74.2
1995,100
1996,90.5
1997,66.6
1998,120
1999,92.5
2000,120.2
2001,90.4
2002,97.5
2003,100.6
2004,135.1
2005,74.9
2006,91.4
2007,55
2008,122.7
2009,72
2010,90.7
2011,121.3
2012,94.2
2013,106.4
2014,112.5
2015,85.8
2016,69
2017,137.3
2018,106.6
2019,92.9
