UF,TO
Cidade,PONTE ALTA DO TOCANTINS
Nome Posto,PONTE ALTA DO TOCANTINS
Latitude,-10.750833333333333
Longitude,-47.53611111111111
Codigo,1047004
Qtd. Anos,36
Ano,Maxima
1984,42
1985,87.6
1986,58.6
1987,90.8
1988,54.4
1989,77.4
1990,70.8
1991,99.8
1992,83.2
1993,59.8
1994,68.6
1995,88.2
1996,37.1
1997,41
1998,120
1999,90.6
2000,60.7
2001,335
2002,73.2
2003,67.1
2004,39.6
2005,10.3
2006,106.4
2007,91.8
2008,100.3
2009,119.7
2010,94.8
2011,95.2
2012,99.6
2013,83.6
2014,71.1
2015,69.3
2016,69.2
2017,97.1
2018,110.9
2019,67
