UF,TO
Cidade,ARAGUANA
Nome Posto,PIRAQUE
Latitude,-6.6722222222222225
Longitude,-48.47027777777778
Codigo,648002
Qtd. Anos,46
Ano,Maxima
1974,57.9
1975,67.8
1976,88
1977,81.9
1978,83.2
1979,160.7
1980,81.3
1981,83.6
1982,107.2
1983,74.2
1984,58.8
1985,74.2
1986,91.2
1987,88.2
1988,130.3
1989,60.4
1991,55
1992,62
1993,70.4
1994,79.4
1995,112.3
1996,120.2
1997,119
1998,72
1999,87
2000,91.3
2001,80.2
2002,118.4
2003,78.3
2004,94.7
2005,122.4
2006,84.2
2007,65.5
2008,114.5
2009,86.5
2010,104.6
2011,77.7
2012,106.7
2013,126.2
2014,122.5
2015,194.9
2016,49.3
2017,89
2018,95.3
2019,72.6
2020,90
