UF,TO
Cidade,ALVORADA
Nome Posto,ALVORADA
Latitude,-12.48361111111111
Longitude,-49.12444444444444
Codigo,1249000
Qtd. Anos,50
Ano,Maxima
1971,67
1972,78.1
1973,81.7
1974,88.2
1975,72.4
1976,71.1
1977,102.9
1978,99.6
1979,97.1
1980,88.8
1981,96.2
1982,83.4
1983,126.6
1984,56.3
1985,99.6
1986,50
1987,70
1988,110
1989,151
1990,35
1991,105
1992,75
1993,113.6
1994,61.5
1995,76.8
1996,106
1997,95.2
1998,90
1999,115.4
2000,142
2001,103.5
2002,65.6
2003,85.2
2004,81.3
2005,57.4
2006,55.7
2007,113.7
2008,52.6
2009,74.6
2010,88.5
2011,94
2012,86.3
2013,78.4
2014,108.2
2015,65
2016,54.9
2017,61.9
2018,112.9
2019,78.5
2020,52.2
