UF,TO
Cidade,SANTA FE DO ARAGUAIA
Nome Posto,PORTO LEMOS
Latitude,-6.8691666666666675
Longitude,-49.09861111111111
Codigo,649003
Qtd. Anos,36
Ano,Maxima
1985,130.7
1986,103.4
1987,103.8
1988,96.2
1989,109
1990,67.2
1991,89.6
1992,61.3
1993,87.2
1994,106.8
1995,130.9
1996,88.2
1997,142.3
1998,66.4
1999,91
2000,105
2001,83.2
2002,98.9
2003,101
2004,415
2005,96.2
2006,91.3
2007,69.8
2008,67
2009,93.2
2010,96.2
2011,79.2
2012,99
2013,88.3
2014,99.9
2015,67.5
2016,49.5
2017,96.3
2018,99.8
2019,89.8
2020,85.5
