UF,TO
Cidade,FATIMA
Nome Posto,FATIMA
Latitude,-10.76361111111111
Longitude,-48.90222222222222
Codigo,1048000
Qtd. Anos,49
Ano,Maxima
1971,56.2
1972,102.4
1973,85.1
1974,100
1975,85.6
1976,100
1977,52
1978,114.4
1979,90
1980,150
1981,65
1982,109.4
1983,92
1984,92
1985,92
1986,99.8
1987,91
1988,110.2
1989,90.2
1990,53
1991,70
1992,59
1993,78.6
1994,96
1995,140.6
1996,100.8
1997,106
1998,60.4
1999,62.2
2000,84.4
2001,107.2
2002,80.1
2003,85
2004,92.7
2005,128.4
2006,85
2007,51.6
2008,71.2
2009,92.5
2010,98.5
2011,81.9
2012,136.5
2013,104.2
2014,100.2
2015,70.2
2016,100.4
2017,92.1
2018,100.8
2019,68.1
