UF,TO
Cidade,FORTALEZA DO TABOCAO
Nome Posto,SANTA TEREZINHA
Latitude,-10.46111111111111
Longitude,-50.5125
Codigo,1050002
Qtd. Anos,35
Ano,Maxima
1985,61.3
1986,63.6
1987,127.6
1988,73.8
1989,87.2
1990,61.5
1991,92.8
1992,72.1
1993,104.2
1994,87.3
1995,102.5
1996,110
1997,107.5
1998,95.5
1999,119.2
2000,98.9
2001,79.9
2002,69.1
2003,79.7
2004,122.4
2005,88.5
2006,102.6
2007,82.3
2008,62.1
2009,62.8
2010,105
2011,116.6
2012,72.6
2013,58.1
2014,134.4
2015,106.8
2016,107.5
2017,86.2
2018,99.8
2019,57.2
