UF,TO
Cidade,ANANAS
Nome Posto,ANANAS
Latitude,-6.363888888888889
Longitude,-48.072500000000005
Codigo,648001
Qtd. Anos,47
Ano,Maxima
1974,88
1975,116
1976,95
1977,65.2
1978,50
1979,201.2
1980,90.2
1981,90
1982,100.4
1983,108.4
1984,71
1985,55.5
1986,75.1
1987,25.2
1988,61.3
1989,110
1990,98.1
1991,98.1
1992,98.1
1993,83.4
1994,88.2
1995,145.8
1996,87.9
1997,91.3
1998,88.6
1999,69.2
2000,88.2
2001,111.5
2002,99.9
2003,96
2004,108.6
2005,97.6
2006,88.4
2007,51.3
2008,75.4
2009,155.5
2010,78.3
2011,83.1
2012,77.7
2013,80.5
2014,146.8
2015,91.2
2016,145.7
2017,147.1
2018,119.6
2019,126
2020,76.5
