UF,TO
Cidade,PARAISO DO TOCANTINS
Nome Posto,PARAISO DO TOCANTINS
Latitude,-10.165277777777778
Longitude,-48.89055555555556
Codigo,1048001
Qtd. Anos,49
Ano,Maxima
1971,61.3
1972,64.6
1973,70.9
1974,99.4
1975,58.3
1976,53.8
1977,119
1978,60.8
1979,69.8
1980,127.8
1981,98.4
1982,100
1983,65.2
1984,52.2
1985,100.6
1986,88.8
1987,92.4
1988,148.2
1989,94.6
1990,96.6
1991,102.2
1992,117.2
1993,89
1994,108.4
1995,132
1996,75
1997,85.2
1998,108.2
1999,108.4
2000,75.7
2001,132.9
2002,105.2
2003,78.7
2004,106.5
2005,107.5
2006,69.3
2007,121.3
2008,85.2
2009,100.5
2010,78.2
2011,123.2
2012,110.2
2013,74.3
2014,60.5
2015,102
2016,64.2
2017,55.2
2018,72
2019,98.7
