UF,TO
Cidade,XAMBIOA
Nome Posto,XAMBIOA
Latitude,-6.413055555555556
Longitude,-48.53333333333333
Codigo,648000
Qtd. Anos,52
Ano,Maxima
1969,114
1970,130.6
1971,73.4
1972,71.6
1973,81.9
1974,69.6
1975,62.4
1976,67.8
1977,78
1978,94.2
1979,79.4
1980,148.4
1981,118.6
1982,78.6
1983,190.4
1984,68.2
1985,110.2
1986,146.2
1987,96.2
1988,121.2
1989,73.2
1990,68.1
1991,85.2
1992,80.6
1993,102.2
1994,71.2
1995,48.4
1996,112.8
1997,123.2
1998,82
1999,117.8
2000,96.8
2001,88.7
2002,94.3
2003,82.1
2004,101.6
2005,80.6
2006,113.3
2007,57.7
2008,103.5
2009,134.3
2010,78
2011,88.5
2012,113
2013,86.5
2014,28.5
2015,15
2016,128.4
2017,98.2
2018,109.9
2019,123.9
2020,53.1
