UF,TO
Cidade,BERNARDO SAYAO
Nome Posto,COLONIA
Latitude,-7.877777777777778
Longitude,-48.87861111111111
Codigo,748001
Qtd. Anos,47
Ano,Maxima
1973,56
1974,85.7
1975,128
1976,63.3
1977,70.3
1978,103
1979,116
1980,212
1981,210.2
1982,95.5
1983,86.2
1984,58.4
1985,136.2
1986,102
1987,147
1988,84
1989,138
1990,80
1991,87.8
1992,69.1
1993,98.5
1994,79.6
1995,143.8
1996,96.1
1997,61.3
1998,97.8
1999,104
2000,158.8
2001,76.3
2002,106.1
2003,91.6
2004,103.1
2005,96
2006,127
2007,71.3
2008,120.3
2009,122.5
2010,93.9
2011,54.6
2012,53.4
2013,120.9
2014,122.5
2015,82
2016,115
2017,95.7
2018,131.5
2019,102
