UF,TO
Cidade,ARAGUACEMA
Nome Posto,ARAGUACEMA (CHACARA ARAGUAIA)
Latitude,-8.802222222222223
Longitude,-49.55555555555555
Codigo,849002
Qtd. Anos,47
Ano,Maxima
1973,66.2
1974,82.2
1975,101.8
1976,115
1977,96.4
1978,70.2
1979,69.6
1980,53.2
1981,60
1982,60.4
1983,62.8
1984,53.6
1985,51.6
1986,63.4
1987,70.4
1988,70.8
1989,85.6
1990,69.2
1991,85.6
1992,68.6
1993,90
1994,72.7
1995,82.8
1996,87.5
1997,78.5
1998,76.3
1999,96.8
2000,79.8
2001,78.9
2002,85.5
2003,71.2
2004,96.6
2005,95.3
2006,83.9
2007,97.7
2008,87.5
2009,98.9
2010,79.2
2011,63.2
2012,94.4
2013,99.7
2014,95.2
2015,67.8
2016,80
2017,95.4
2018,98.4
2019,129
