UF,TO
Cidade,ARAGUAINA
Nome Posto,BOA VISTA DO ARAGUAIA
Latitude,-7.323055555555555
Longitude,-49.22416666666667
Codigo,749001
Qtd. Anos,37
Ano,Maxima
1983,112
1984,82.2
1985,120.2
1986,141.1
1987,98.2
1988,116.4
1989,80.9
1990,66.8
1991,151.3
1992,115.5
1993,119.1
1994,121.2
1995,122.3
1996,65.1
1997,82.6
1998,103.5
1999,85.9
2000,107.5
2001,79
2002,87.4
2003,79.6
2004,137.4
2005,104.8
2006,76.9
2007,72.2
2008,73.2
2009,64.8
2010,93.6
2011,67.4
2012,103.7
2013,132
2014,99.1
2015,98.5
2016,100.7
2017,94.5
2018,58.6
2019,72.8
