UF,TO
Cidade,DUERE
Nome Posto,DUERE
Latitude,-11.33888888888889
Longitude,-49.265277777777776
Codigo,1149000
Qtd. Anos,48
Ano,Maxima
1973,61.4
1974,93.6
1975,80
1976,96
1977,99.2
1978,96.2
1979,110.6
1980,109
1981,136
1982,88.2
1983,121.4
1984,150
1985,126.4
1986,124.6
1987,71.8
1988,133
1989,120
1990,91
1991,58.8
1992,102
1993,102.1
1994,80.4
1995,149
1996,117
1997,73.1
1998,72.8
1999,83.1
2000,98
2001,65.8
2002,93.9
2003,117.1
2004,246
2005,110.3
2006,145.1
2007,94.2
2008,84.4
2009,116.5
2010,71.8
2011,129.1
2012,112.8
2013,87
2014,95.5
2015,84.9
2016,110.2
2017,110.8
2018,120.8
2019,87.8
2020,75.7
