UF,TO
Cidade,PEDRO AFONSO
Nome Posto,PORTO REAL
Latitude,-9.306944444444445
Longitude,-47.92916666666667
Codigo,948001
Qtd. Anos,51
Ano,Maxima
1969,43
1970,51.6
1971,75.5
1972,89.2
1973,74.4
1974,87.4
1975,66.4
1976,97.7
1977,100
1978,207.4
1979,100.9
1980,100.8
1981,100.6
1982,82.5
1983,116.3
1984,50.7
1985,86.2
1986,91
1987,133
1988,100.5
1989,83.1
1990,81
1991,68.5
1992,96.1
1993,83.1
1994,96
1995,117.5
1996,70.9
1997,64.4
1998,73.3
1999,82.4
2000,61.8
2001,80.3
2002,100
2003,70.5
2004,80.7
2005,75.9
2006,126.9
2007,77.6
2008,71
2009,100.8
2010,90
2011,104.6
2012,90
2013,74.3
2014,76.6
2015,83
2016,57.7
2017,75.5
2018,166.5
2019,77.4
