UF,TO
Cidade,CONCEICAO DO TOCANTINS
Nome Posto,RIO DA PALMA (FAZ. CHUVA MANGA)
Latitude,-12.415555555555557
Longitude,-47.19972222222222
Codigo,1247002
Qtd. Anos,47
Ano,Maxima
1973,203.2
1974,97.1
1975,153
1976,54
1977,140.1
1978,76
1979,100
1980,56
1981,75
1982,76
1983,68
1984,50
1985,72
1986,62
1987,68
1988,75.3
1989,77.3
1990,56.6
1991,75
1992,68.5
1993,62.4
1994,92.4
1995,74.4
1996,82.2
1997,87.1
1998,94.5
1999,100.8
2000,59.5
2001,80.4
2002,66.3
2003,55.3
2004,102.4
2005,44.6
2006,48
2007,50.7
2008,50.7
2009,61.6
2010,101.7
2011,98.9
2012,63.7
2013,76.5
2014,64.7
2015,53.3
2016,104.5
2017,87.5
2018,98
2019,75
