UF,TO
Cidade,NOVO ACORDO
Nome Posto,JATOBA (FAZENDA BOA NOVA)
Latitude,-9.990555555555554
Longitude,-47.478611111111114
Codigo,1047000
Qtd. Anos,47
Ano,Maxima
1973,0.8
1974,45.2
1975,36.2
1976,73.5
1977,84.8
1978,94.6
1979,141.7
1980,137.8
1981,99.6
1982,93.8
1983,84.6
1984,59.6
1985,85.8
1986,55.8
1987,86.7
1988,107.3
1989,95.3
1990,77.7
1991,112
1992,85.1
1993,95.8
1994,64.2
1995,177
1996,145
1997,172
1998,123.3
1999,92.4
2000,92.5
2001,59.6
2002,95.2
2003,76.4
2004,105.5
2005,85.1
2006,116.7
2007,63.7
2008,102.1
2009,92.3
2010,135.5
2011,62.7
2012,69.5
2013,75.3
2014,75.5
2015,113.5
2016,95.1
2017,74.5
2018,124.5
2019,61.5
