UF,TO
Cidade,SAO SEBASTIAO DO TOCANTINS
Nome Posto,SAO SEBASTIAO DO TOCANTINS
Latitude,-5.259722222222222
Longitude,-48.206944444444446
Codigo,548001
Qtd. Anos,37
Ano,Maxima
1984,131.2
1985,100.7
1986,144
1987,62.8
1988,95.4
1989,97.1
1990,92.4
1991,102.3
1992,81.1
1993,82.7
1994,111.8
1995,115.5
1996,101.3
1997,94.2
1998,110.8
1999,107.5
2000,106.2
2001,105.2
2002,73.4
2003,93.2
2004,97
2005,75
2006,86.3
2007,96.7
2008,90.9
2009,89.3
2010,96.5
2011,89.5
2012,74
2013,108.5
2014,110.3
2015,73.7
2016,141.1
2017,112.9
2018,146.3
2019,94.1
2020,60.6
