UF,TO
Cidade,PALMEIRANTE
Nome Posto,PALMEIRANTE
Latitude,-7.859444444444444
Longitude,-47.928888888888885
Codigo,747009
Qtd. Anos,36
Ano,Maxima
1984,68.5
1985,98.2
1986,93.2
1987,90.2
1988,93.2
1989,108.7
1990,110.6
1991,70
1992,53.1
1993,63.5
1994,119.5
1995,85.5
1996,89
1997,98.8
1998,63.4
1999,103.6
2000,76.3
2001,80.6
2002,60.3
2003,91
2004,102.3
2005,256.8
2006,65.6
2007,115.7
2008,114.1
2009,90
2010,57.4
2011,91.9
2012,83.9
2013,110.2
2014,103.6
2015,75.1
2016,89.8
2017,97.8
2018,98.7
2019,101.5
