UF,MG
Cidade,GUAXUPE
Nome Posto,GUAXUPE
Latitude,-21.29361111111111
Longitude,-46.70388888888889
Codigo,2146026
Qtd. Anos,76
Ano,Maxima
1911,170.5
1912,65
1913,64
1914,95.3
1915,73.3
1916,83.4
1917,65.5
1918,69.1
1919,98.5
1920,66.3
1921,60.1
1922,104.5
1923,46.3
1924,103.1
1925,90
1926,74
1927,72.5
1936,65.2
1938,80
1939,170
1940,73
1942,23
1943,115.5
1944,45.8
1966,12
1969,94
1970,43
1971,73.8
1972,110
1973,74
1974,70.3
1975,68.1
1976,70
1977,63.3
1978,65
1979,57
1980,75
1981,120.2
1982,75.8
1983,120.1
1984,65.3
1985,58.3
1986,68.2
1987,111.9
1988,59.8
1989,46.1
1990,55.8
1991,91.2
1992,70.5
1993,81.7
1994,84.4
1995,93
1996,65.6
1997,57.7
1998,62.4
1999,54
2000,93.3
2001,63.3
2002,50.8
2003,71.9
2004,83.6
2005,96.5
2006,82.4
2007,41.6
2008,69.1
2009,65.8
2010,66.6
2011,84.5
2012,113.3
2013,51
2014,51.5
2015,82.9
2016,55.3
2017,68.7
2018,105.4
2019,72.1
