UF,MG
Cidade,COROACI
Nome Posto,COROACI
Latitude,-18.611944444444447
Longitude,-42.27861111111111
Codigo,1842005
Qtd. Anos,78
Ano,Maxima
1942,72
1943,100.1
1944,100.9
1945,81
1946,80.3
1947,80
1948,135.4
1949,65.2
1950,131.5
1951,84.4
1952,94.4
1953,75.1
1954,72.4
1955,78.3
1956,85.3
1957,83.3
1958,103.1
1959,150.3
1960,105.1
1961,76.3
1962,76.2
1963,39.2
1964,85.2
1965,62
1966,57.4
1967,132.4
1968,62.2
1969,85.2
1970,60.2
1971,85.6
1972,93.6
1973,84.2
1974,83
1975,114.9
1976,84.3
1977,57.8
1978,85.4
1979,149.8
1980,72.6
1981,116.6
1982,112.4
1983,127.6
1984,103
1985,90.8
1986,78.4
1987,114.6
1988,78.9
1989,96.8
1990,77.6
1991,70
1992,104.1
1993,104.4
1994,78.7
1995,125
1996,86.4
1997,58.2
1998,41.3
1999,74.4
2000,69.3
2001,143.2
2002,61.8
2003,105
2004,75
2005,126.4
2006,125.7
2007,49.9
2008,128.9
2009,122.8
2010,101.6
2011,100.2
2012,76.9
2013,98.2
2014,49.5
2015,82.6
2016,123
2017,44.1
2018,75.1
2019,74
