UF,MG
Cidade,ITAMARATI DE MINAS
Nome Posto,USINA MAURICIO
Latitude,-21.47138888888889
Longitude,-42.81305555555555
Codigo,2142006
Qtd. Anos,77
Ano,Maxima
1944,107.8
1945,73
1946,123.5
1947,70.2
1948,57.8
1949,69.2
1950,83.1
1951,74.2
1952,86.2
1953,93
1954,62
1955,83
1956,59.4
1957,100.3
1958,67
1959,40
1960,88
1961,102
1962,81.4
1963,115
1964,119
1965,64.2
1966,68.6
1967,92.8
1968,85.6
1969,85.6
1970,60.9
1971,81.9
1972,147.4
1973,116.4
1974,55.2
1975,74.4
1976,142.2
1977,55.4
1978,73.4
1979,61.3
1980,103.4
1981,116.1
1982,68.2
1983,122
1984,85
1985,107
1986,62.2
1987,81
1988,78.1
1989,139
1990,77.3
1991,158.3
1992,69
1993,63
1994,147.2
1995,68.4
1996,95
1997,107
1998,76
1999,88.3
2000,148
2001,126.5
2002,109.2
2003,87.9
2004,135.1
2005,92
2006,110
2007,123
2008,71
2009,96
2010,68.4
2011,103.2
2012,67.2
2013,63
2014,118.5
2015,68.3
2016,57
2017,90
2018,90.8
2019,94.8
2020,80
