UF,MG
Cidade,SAO MIGUEL DO ANTA
Nome Posto,SAO MIGUEL DO ANTA
Latitude,-20.6825
Longitude,-42.806666666666665
Codigo,2042016
Qtd. Anos,53
Ano,Maxima
1967,37.2
1968,38.2
1969,76.6
1970,42.3
1971,53.6
1972,62.2
1973,65.6
1974,64.4
1975,77.8
1976,67.4
1977,62.8
1978,75.4
1979,73
1980,86.4
1981,88.4
1982,47.2
1983,52.2
1984,74.8
1985,74.3
1986,118.6
1987,96.4
1988,44.2
1989,76.6
1990,117.2
1991,87.4
1992,64.2
1993,80.6
1994,64.4
1995,64.6
1996,67.8
1997,101.2
1998,50.9
1999,112.4
2000,81.8
2001,78.1
2002,61.6
2003,93.3
2004,98.5
2005,75.9
2006,67.9
2007,59.7
2008,108.5
2009,98.5
2010,99.8
2011,78.8
2012,77.1
2013,77.9
2014,54.4
2015,62.4
2016,76.2
2017,75.7
2018,74.7
2019,108.2
