UF,MG
Cidade,OLIVEIRA
Nome Posto,OLIVEIRA
Latitude,-20.683333333333334
Longitude,-44.81666666666667
Codigo,2044001
Qtd. Anos,77
Ano,Maxima
1913,64.1
1914,65.4
1915,64.7
1916,71.2
1917,53.6
1918,109
1919,64.7
1920,65.4
1921,61.8
1922,64.2
1923,51.5
1924,65.6
1925,55.2
1926,64.5
1927,64
1928,66.8
1929,63.3
1930,63.3
1931,60.7
1932,63.5
1933,59.4
1934,55
1935,88.3
1936,69.1
1937,75.2
1938,71.5
1939,84.1
1940,70.8
1941,74.2
1942,145.4
1943,95.4
1944,81
1945,73.4
1946,62.8
1947,94.4
1948,69.3
1949,88.4
1950,65.8
1951,129
1952,68.7
1953,81.1
1954,134.2
1955,67.4
1956,94
1957,54.6
1958,88.2
1959,55.6
1960,62.8
1961,59
1962,52.8
1963,48.1
1964,57.8
1965,91.1
1966,149.4
1967,31
1968,83.6
1969,86.3
1970,78.3
1971,75.6
1972,100.6
1973,86.9
1974,70.4
1975,91
1976,94.9
1977,62.9
1978,58.9
1979,26.7
1980,20.5
1981,53.2
1982,38.3
1984,25.6
1993,98
1994,9.6
1995,82.6
1996,57.6
1997,66
1998,50
