UF,MG
Cidade,GOVERNADOR VALADARES
Nome Posto,GOVERNADOR VALADARES
Latitude,-18.883055555555558
Longitude,-41.95027777777778
Codigo,1841020
Qtd. Anos,35
Ano,Maxima
1985,60.4
1986,49.8
1987,77.6
1988,91
1989,69.8
1990,69
1991,133.4
1992,63.3
1993,62.2
1994,96
1995,100
1996,50.1
1997,115.1
1998,139.3
1999,75.7
2000,98.7
2001,68.9
2002,63.2
2003,113
2004,81.2
2005,82.6
2006,80.6
2007,68.7
2008,78.5
2009,90.3
2010,116.2
2011,85.2
2012,86.7
2013,173
2014,92.4
2015,64.5
2016,136.7
2017,88
2018,97.9
2019,58.3
