UF,MG
Cidade,BELO HORIZONTE
Nome Posto,CAIXA DE AREIA
Latitude,-19.945
Longitude,-43.9125
Codigo,1943022
Qtd. Anos,77
Ano,Maxima
1940,81.6
1941,62.6
1942,88.5
1943,86
1944,100
1945,88.6
1946,80.4
1947,104
1948,125
1949,170
1951,95
1952,100
1953,60.2
1954,46.6
1955,50.2
1956,78.4
1957,45.6
1958,80.6
1959,42.6
1962,60
1963,61
1964,116
1965,62
1966,102
1967,132
1968,114.2
1969,80.4
1970,82.2
1971,135
1972,75
1973,80
1974,49
1975,80.6
1976,67.2
1977,67.3
1978,143
1979,97.5
1980,78.2
1981,155
1982,161
1983,159.9
1984,138.4
1985,118
1986,112.4
1987,79.2
1988,76
1989,110
1990,62.2
1991,124
1992,166
1993,92
1994,83.2
1995,162
1996,74.2
1997,175
1998,67
1999,89.2
2000,173
2001,80.3
2002,102.5
2003,217.5
2004,141
2005,96.7
2006,101.2
2007,80.6
2008,123.1
2009,79.3
2010,80.6
2011,113.9
2012,78.2
2013,87.4
2014,98.9
2015,71.8
2016,110.9
2017,70.4
2018,92.7
2019,59.6
