UF,MG
Cidade,BARBACENA
Nome Posto,VARGEM DO ENGENHO
Latitude,-21.192777777777778
Longitude,-43.61388888888889
Codigo,2143007
Qtd. Anos,79
Ano,Maxima
1941,61
1942,97.6
1943,83
1944,60
1945,95
1946,65
1947,100.2
1948,92.6
1949,93
1950,66
1951,82.6
1952,74.2
1953,63.2
1954,86.4
1955,78.2
1956,73.2
1957,58
1958,97.2
1959,53.2
1960,183
1961,72.6
1962,90.4
1963,43.2
1964,50.2
1965,43.8
1966,49.8
1967,47.6
1968,81
1969,49.4
1970,75.4
1971,90.2
1972,101
1973,116.4
1974,66
1975,111.5
1976,90
1977,82
1978,88.2
1979,93.2
1980,83.2
1981,68
1982,121
1983,77
1984,65.6
1985,89
1986,57
1987,58.4
1988,72.6
1989,47.6
1990,70
1991,100
1992,100
1993,65
1994,95
1995,74
1996,62.2
1997,75
1998,79
1999,107
2000,120.4
2001,185
2002,83.5
2003,70.7
2004,80.5
2005,95.5
2006,56.9
2007,65.7
2008,83.3
2009,96.3
2010,63.9
2011,54.2
2012,81.7
2013,84.4
2014,59.8
2015,47.9
2016,120.1
2017,63.3
2018,57.4
2019,66.3
