UF,MG
Cidade,PRESIDENTE JUSCELINO
Nome Posto,PONTE DO LICINIO - JUSANTE
Latitude,-18.67138888888889
Longitude,-44.19138888888889
Codigo,1844010
Qtd. Anos,47
Ano,Maxima
1973,57.6
1974,54.4
1975,60.6
1976,86.4
1977,84
1978,84.2
1979,101
1980,59.8
1981,224.2
1982,102
1983,83.6
1984,58.4
1985,66.8
1986,74.4
1987,67
1988,46.2
1989,70.8
1990,74.2
1991,121.6
1992,50.8
1993,62.2
1994,90.2
1995,58.2
1996,90.2
1997,68.8
1998,106.8
1999,80.8
2000,58.8
2001,71.8
2002,95.8
2003,82.8
2004,56.2
2005,106.2
2006,55.6
2007,44.6
2008,97.2
2009,59.8
2010,63.3
2011,73.6
2012,88.8
2013,52.2
2014,62.6
2015,51.2
2016,46.4
2017,93.7
2018,70.8
2019,29.2
