UF,MG
Cidade,RIO PIRACICABA
Nome Posto,RIO PIRACICABA
Latitude,-19.922777777777778
Longitude,-43.17777777777778
Codigo,1943001
Qtd. Anos,80
Ano,Maxima
1940,67
1941,92.2
1942,90.4
1943,78
1944,58.4
1945,90.6
1946,66
1947,78
1948,67
1949,100
1950,39.4
1951,42.6
1952,60.4
1953,34.4
1954,32
1955,42
1956,60
1957,50
1958,29
1959,27.6
1960,50.6
1961,50
1962,62
1963,42
1964,140
1965,70
1966,90
1967,67.2
1968,71.1
1969,76.8
1970,70
1971,90
1972,70
1973,145
1974,66.6
1975,71
1976,60.5
1977,98
1978,73
1979,81.8
1980,76.4
1981,71.4
1982,145
1983,75
1984,78.4
1985,69
1986,89.3
1987,62.4
1988,64.5
1989,89.3
1990,40
1991,57.5
1992,87.6
1993,98
1994,88
1995,73
1996,67.5
1997,117.2
1998,116
1999,83.9
2000,75.7
2001,75.6
2002,101.8
2003,107.6
2004,70.4
2005,77.4
2006,86.5
2007,77.5
2008,83.5
2009,59
2010,68.9
2011,123
2012,69.2
2013,107.8
2014,41.6
2015,69.5
2016,80
2017,78.3
2018,80
2019,58.2
