UF,MG
Cidade,CENTRAL DE MINAS
Nome Posto,CENTRAL DE MINAS
Latitude,-18.763055555555557
Longitude,-41.30833333333333
Codigo,1841018
Qtd. Anos,44
Ano,Maxima
1976,43.8
1977,68.7
1978,50.2
1979,147
1980,88
1981,86.5
1982,71
1983,59.9
1984,83
1985,83.7
1986,69.7
1987,70.4
1988,85
1989,58.1
1990,74.8
1991,79.4
1992,69.5
1993,76.5
1994,87.5
1995,130.5
1996,63.2
1997,72
1998,93.1
1999,78.1
2000,53.2
2001,55.3
2002,83.6
2003,66.5
2004,80
2005,118
2006,75.3
2007,104
2008,44.7
2009,89
2010,73
2011,63
2012,50.7
2013,83.1
2014,41
2015,48.9
2016,101
2017,65
2018,40
2019,56
