UF,MG
Cidade,FRONTEIRA
Nome Posto,UHE MARIMBONDO MET
Latitude,-20.2925
Longitude,-49.196666666666665
Codigo,2049070
Qtd. Anos,45
Ano,Maxima
1936,46.5
1937,113.8
1938,103.2
1939,111.5
1940,83.1
1941,67.6
1942,71.1
1943,74.9
1944,44.9
1945,163.5
1946,85.2
1947,80
1948,83.6
1949,90.8
1950,72.2
1951,79.5
1952,110
1953,61.6
1954,80.3
1955,68
1956,85.8
1957,54.8
1958,140.2
1959,91.7
1960,54.7
1961,119.8
1962,43
1963,79.7
1964,53.1
1965,96.6
1966,153.5
1967,65.5
1968,42.6
1969,40.8
1970,106.9
1971,52.4
1972,112.7
1973,31.4
2010,66.6
2011,34
2012,43.2
2013,54
2014,46
2015,74.4
2016,36.8
