UF,MG
Cidade,UNAI
Nome Posto,FAZENDA O RESFRIADO
Latitude,-16.502777777777776
Longitude,-46.66277777777778
Codigo,1646004
Qtd. Anos,47
Ano,Maxima
1973,100
1974,50.4
1975,60.5
1976,73.6
1977,68.6
1978,81.5
1979,114.3
1980,56.4
1981,59.1
1982,83
1983,56
1984,83.4
1985,88
1986,80
1987,70
1988,9.8
1989,86
1990,32.2
1991,42
1992,45.1
1993,63.3
1994,50.3
1995,80.5
1996,64
1997,90
1998,78.2
1999,84.3
2000,70
2001,116.4
2002,63.8
2003,62.5
2004,79.9
2005,88.8
2006,86
2007,85.5
2008,85.5
2009,96
2010,99.7
2011,100.3
2012,84.2
2013,113
2014,70.8
2015,75.5
2016,74.1
2017,69.1
2018,104
2019,100.3
