UF,MG
Cidade,DELFIM MOREIRA
Nome Posto,DELFIM MOREIRA
Latitude,-22.509722222222223
Longitude,-45.28666666666666
Codigo,2245064
Qtd. Anos,55
Ano,Maxima
1941,69.6
1942,64.8
1943,66.2
1966,61
1967,51
1968,101.6
1969,62.1
1970,118
1971,90.2
1972,50.9
1973,49
1974,41.6
1975,68
1976,50.8
1977,37.7
1978,50.1
1979,50.2
1980,60.1
1981,60.4
1982,50.4
1983,70.4
1984,60.6
1985,70.7
1986,60.8
1987,60.5
1988,70.4
1989,90.4
1990,40.7
1991,100.1
1992,100.2
1993,40.1
1994,98.2
1995,93
1996,89.4
1997,52
1998,69.9
1999,88.7
2000,200.5
2001,58.1
2002,36.2
2003,58.8
2004,45.3
2005,50
2006,114.1
2007,84.1
2008,101.2
2009,44.3
2010,20.2
2013,41.4
2014,19.5
2015,67.5
2016,68.9
2017,73.9
2018,45.4
2019,56.4
