UF,MG
Cidade,CONCEICAO DO MATO DENTRO
Nome Posto,CONCEICAO DO MATO DENTRO
Latitude,-19.016666666666666
Longitude,-43.44416666666666
Codigo,1943002
Qtd. Anos,74
Ano,Maxima
1941,75.8
1942,88.6
1943,120.6
1944,93.3
1945,90
1946,65.8
1947,73.4
1948,76.7
1949,73
1950,93.9
1951,68.5
1952,73.7
1953,72.6
1954,47.8
1955,69.5
1956,69
1957,83.3
1958,80.2
1959,79.6
1960,58.4
1961,63.4
1962,79.2
1968,66.4
1969,67.8
1970,105.2
1971,82
1972,79
1973,95.8
1974,82
1975,68
1976,53.8
1977,93
1978,150.3
1979,68.2
1980,85.2
1981,74.2
1982,104.4
1983,85.4
1984,104.2
1985,65.2
1986,143.2
1987,103.2
1988,83.9
1989,93.3
1990,53.5
1991,81.8
1992,103.4
1993,64.8
1994,55.4
1995,145.5
1996,91.9
1997,76.6
1998,66.8
1999,87
2000,85.7
2001,114.4
2002,100.5
2003,128
2004,127.8
2005,116.8
2006,76.2
2007,75.2
2008,98
2009,112.4
2010,94.6
2011,92
2012,67.8
2013,93.4
2014,75.2
2015,75.2
2016,102.4
2017,86.5
2018,105
2019,75.3
