UF,MG
Cidade,ARINOS
Nome Posto,ARINOS - MONTANTE
Latitude,-15.917777777777777
Longitude,-46.119166666666665
Codigo,1546000
Qtd. Anos,58
Ano,Maxima
1962,39
1963,31.2
1964,44.6
1965,101.2
1966,80.4
1967,88.8
1968,72.4
1969,41.2
1970,69
1971,66.4
1972,102.2
1973,98.2
1974,79
1975,57.6
1976,59
1977,57
1978,100
1979,100
1980,61.2
1981,63.4
1982,69.2
1983,87
1984,67.6
1985,53.6
1986,62
1987,82.6
1988,78.5
1989,90.2
1990,56.1
1991,36.6
1992,63.1
1993,54.2
1994,83.7
1995,130.9
1996,212.2
1997,66.5
1998,119.7
1999,101
2000,93.2
2001,58.3
2002,109.8
2003,62.2
2004,94.4
2005,79
2006,84.6
2007,69
2008,117.8
2009,65
2010,99.1
2011,104.2
2012,61.6
2013,68.4
2014,91.7
2015,66.6
2016,88.1
2017,76.4
2018,59.7
2019,73.1
