UF,MG
Cidade,SAO GONCALO DO ABAETE
Nome Posto,FAZENDA SAO FELIX
Latitude,-18.464444444444442
Longitude,-45.64666666666667
Codigo,1845002
Qtd. Anos,52
Ano,Maxima
1968,72.8
1969,135.8
1970,72.6
1971,80
1972,67
1973,90.2
1974,87.2
1975,75
1976,71
1977,67.4
1978,100
1979,125
1980,78.2
1981,90.4
1982,73
1983,109
1984,90.4
1985,67
1986,125
1987,82
1988,116
1989,71
1990,26
1991,44.8
1992,99
1993,86
1994,136
1995,43
1996,116
1997,65.6
1998,67
1999,74
2000,72
2001,64
2002,88
2003,81
2004,69
2005,61.9
2006,78
2007,64.5
2008,103.5
2009,66.1
2010,73.6
2011,68.4
2012,46.5
2013,99.7
2014,78.7
2015,48
2016,122.8
2017,68.3
2018,75.2
2019,5.8
