UF,MG
Cidade,CONCEICAO DO RIO VERDE
Nome Posto,CONCEICAO DO RIO VERDE
Latitude,-21.88722222222222
Longitude,-45.07916666666667
Codigo,2145001
Qtd. Anos,79
Ano,Maxima
1941,48
1942,60.6
1943,120.2
1944,43.6
1945,100.7
1946,50
1947,83.4
1948,82
1949,100.8
1950,65
1951,40
1952,50
1953,58
1954,40
1955,40
1956,53
1957,233
1958,62
1959,96
1960,52.4
1961,62.4
1962,111
1963,60.4
1964,100.6
1965,76.4
1966,96.2
1967,48
1968,64.8
1969,71
1970,79.3
1971,94.6
1972,67.2
1973,112.2
1974,104.4
1975,73
1976,100.5
1977,82.4
1978,68.2
1979,59.3
1980,80.4
1981,80.4
1982,90.1
1983,87.6
1984,52.2
1985,92.1
1986,90.2
1987,104.4
1988,59.4
1989,89.3
1990,108.4
1991,114.1
1992,104.2
1993,65.2
1994,154.1
1995,63.3
1996,111.4
1997,72.4
1998,71.1
1999,77.4
2000,123.4
2001,56.6
2002,87.8
2003,44.8
2004,56.8
2005,66.8
2006,57
2007,82
2008,96.3
2009,87
2010,68
2011,179.8
2012,57.8
2013,74.1
2014,38.1
2015,49.8
2016,85.7
2017,47.2
2018,58.8
2019,48.1
